SR_NUMBER,SR_TYPE,SR_SHORT_CODE,CREATED_DEPARTMENT,OWNER_DEPARTMENT,STATUS,ORIGIN,CREATED_DATE,LAST_MODIFIED_DATE,CLOSED_DATE,STREET_ADDRESS,CITY,STATE,ZIP_CODE,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,DUPLICATE,LEGACY_RECORD,LEGACY_SR_NUMBER,PARENT_SR_NUMBER,COMMUNITY_AREA,WARD,ELECTRICAL_DISTRICT,ELECTRICITY_GRID,POLICE_SECTOR,POLICE_DISTRICT,POLICE_BEAT,PRECINCT,SANITATION_DIVISION_DAYS,CREATED_HOUR,CREATED_DAY_OF_WEEK,CREATED_MONTH,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,LOCATION
SR20-04431237,Business Complaints,RBL,Health,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,6/25/20 15:52,10/9/20 16:00,10/9/20 16:00,2600 W 35TH ST,,,60632,2600,W,35TH,ST,FALSE,FALSE,,,58,12,,J029,1,9,911,2,,15,5,6,1159566.094,1881376.385,41.83022123,-87.69005931,"(41.83022122786681, -87.69005931443176)"
SR20-04431369,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,6/25/20 16:03,11/13/20 10:58,11/13/20 10:58,1949 N HOYNE AVE,,,60647,1949,N,HOYNE,AVE,FALSE,FALSE,,,22,32,,K018,3,14,1434,4,,16,5,6,1162111.512,1913237.3,41.91759778,-87.67983008,"(41.917597784005, -87.67983008196346)"
SR20-04455872,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,6/29/20 12:00,9/29/21 15:37,9/29/21 15:37,4356 W FORD CITY DR,,,60652,4356,W,FORD CITY,DR,FALSE,FALSE,,,65,18,,F040,3,8,833,43,,12,2,6,1148403.394,1853455.225,41.75382326,-87.73173276,"(41.75382326005297, -87.73173276344751)"
SR20-04456600,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,6/29/20 13:03,9/30/21 10:15,9/30/21 10:15,6659 W ARCHER AVE,,,60638,6659,W,ARCHER,AVE,FALSE,FALSE,,,56,23,,Z135,1,8,811,37,,13,2,6,1132701.274,1867243.247,41.79194716,-87.78895706,"(41.7919471557891, -87.7889570620297)"
SR20-04457871,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,6/29/20 14:51,9/29/21 15:43,9/29/21 15:43,2010 N HALSTED ST,,,60614,2010,N,HALSTED,ST,FALSE,FALSE,,,7,43,,N017,1,18,1812,7,,14,2,6,1170544.148,1913658.846,41.91857402,-87.64883612,"(41.91857402244749, -87.64883611980535)"
SR20-04463736,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,6/30/20 11:13,9/29/21 15:42,9/29/21 15:42,6408 W IRVING PARK RD,,,60634,6408,W,IRVING PARK,RD,FALSE,FALSE,,,17,38,,Z112,3,16,1632,26,,11,3,6,1132882.244,1926018.608,41.95323213,-87.7869215,"(41.95323213017521, -87.78692149727995)"
SR20-04463974,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,6/30/20 11:32,9/29/21 15:14,9/29/21 15:14,1973 N HALSTED ST,,,60614,1973,N,HALSTED,ST,FALSE,FALSE,,,7,43,,O018,1,18,1813,3,,11,3,6,1170700.495,1913477.442,41.91807282,-87.64826702,"(41.91807281532262, -87.64826701584911)"
SR20-04464100,Business Complaints,RBL,Health,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,6/30/20 11:44,7/6/20 16:10,7/6/20 16:10,537 W 45TH ST,,,60609,537,W,45TH,ST,FALSE,FALSE,,,61,11,,O032,2,9,925,12,,11,3,6,1173311.726,1875000.608,41.81243199,-87.6398153,"(41.81243198485221, -87.63981529748769)"
SR20-04464130,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,6/30/20 11:47,9/29/21 15:49,9/29/21 15:49,1959 W HOWARD ST,,,60626,1959,W,HOWARD,ST,FALSE,FALSE,,,1,49,,L004,2,24,2424,19,,11,3,6,1161807.642,1950261.037,42.01919895,-87.67990908,"(42.01919894834364, -87.67990907778186)"
SR20-04464236,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,6/30/20 11:56,9/29/21 15:54,9/29/21 15:54,144 S WABASH AVE,,,60603,144,S,WABASH,AVE,FALSE,FALSE,,,32,42,,Q023,1,1,112,33,,11,3,6,1176827.688,1899561.208,41.87974949,-87.62617703,"(41.879749489857915, -87.62617703147482)"
SR20-04464295,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,6/30/20 12:03,9/29/21 15:47,9/29/21 15:47,2251 W TAYLOR ST,,,60612,2251,W,TAYLOR,ST,FALSE,FALSE,,,28,28,,K024,2,12,1225,19,,12,3,6,1161236.33,1895518.475,41.86899411,-87.68353854,"(41.868994114475754, -87.683538539082)"
SR20-04513486,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,7/7/20 10:44,8/6/20 14:27,8/6/20 14:27,9440 W FOSTER AVE,,,60656,9440,W,FOSTER,AVE,FALSE,FALSE,,,76,41,,S109,5,16,1654,27,,10,3,7,1111919.745,1933293.243,41.9735356,-87.86383685,"(41.97353559517797, -87.86383685066195)"
SR20-04515265,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,7/7/20 13:08,8/6/20 14:41,8/6/20 14:41,7146 W DIVERSEY AVE,,,60707,7146,W,DIVERSEY,AVE,FALSE,FALSE,,,18,29,,Y115,1,25,2511,39,,13,3,7,1127769.394,1917857.037,41.93092371,-87.80590173,"(41.93092371443316, -87.80590172935379)"
SR20-04521767,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,7/8/20 10:27,10/9/20 9:58,10/9/20 9:58,42 E SUPERIOR ST,,,60611,42,E,SUPERIOR,ST,FALSE,FALSE,,,8,42,,Q021,3,18,1833,19,,10,4,7,1176674.105,1905459.577,41.8959384,-87.62656258,"(41.89593840047576, -87.62656257514925)"
SR20-04522277,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,7/8/20 10:58,8/6/20 14:53,8/6/20 14:53,5000 W IRVING PARK RD,,,60641,5000,W,IRVING PARK,RD,FALSE,FALSE,,,15,45,,D012,2,16,1624,11,,10,4,7,1142246.514,1926266.814,41.95374424,-87.75249104,"(41.95374423641288, -87.75249103815933)"
SR20-04523047,Business Complaints,RBL,Health,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,7/8/20 11:52,7/9/20 12:40,7/9/20 12:40,5008 N PULASKI RD,,,60630,5008,N,PULASKI,RD,FALSE,FALSE,,,13,39,,F010,1,17,1712,8,,11,4,7,1148691.144,1933060.657,41.97226474,-87.72862341,"(41.97226473886851, -87.72862340567275)"
SR20-04524401,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,7/8/20 13:34,7/30/20 13:59,7/30/20 13:59,620 W 63RD ST,,,60621,620,W,63RD,ST,FALSE,FALSE,,,68,16,,O036,1,7,711,28,,13,4,7,1173226.66,1863333.146,41.78041713,-87.64047225,"(41.78041712552297, -87.64047225206725)"
SR20-04524496,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,7/8/20 13:43,8/6/20 15:04,8/6/20 15:04,7905 S CICERO AVE,,,60652,7905,S,CICERO,AVE,FALSE,FALSE,,,70,18,,E041,3,8,834,43,,13,4,7,1145801.492,1851675.337,41.74898846,-87.74131287,"(41.74898845756402, -87.74131287026728)"
SR20-04525651,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,7/8/20 15:10,8/6/20 15:06,8/6/20 15:06,4237 N CICERO AVE,,,60641,4237,N,CICERO,AVE,FALSE,FALSE,,,15,45,,E012,2,17,1722,12,,15,4,7,1143675.842,1927879.553,41.95814303,-87.74719606,"(41.95814303016437, -87.74719606362751)"
SR20-04559262,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,7/13/20 8:27,8/7/20 10:26,8/7/20 10:26,5308 N MILWAUKEE AVE,,,60630,5308,N,MILWAUKEE,AVE,FALSE,FALSE,,,11,45,,B009,2,16,1622,38,,8,2,7,1137557.006,1934919.483,41.97757388,-87.76952112,"(41.977573879648475, -87.76952111714805)"
SR20-04559835,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,7/13/20 9:11,8/7/20 10:53,8/7/20 10:53,2114 W LAWRENCE AVE,,,60625,2114,W,LAWRENCE,AVE,FALSE,FALSE,,,4,47,,K010,3,20,2032,38,,9,2,7,1161289.061,1931920.707,41.96888331,-87.68233046,"(41.96888330846774, -87.68233046427358)"
SR20-04564939,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,7/13/20 15:26,8/10/20 9:31,8/10/20 9:31,2535 N CALIFORNIA AVE,,,60647,2535,N,CALIFORNIA,AVE,FALSE,FALSE,,,22,32,,J016,3,14,1431,43,,15,2,7,1157337.443,1916876.857,41.92768349,-87.697271,"(41.9276834941454, -87.6972710034495)"
SR20-04565033,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,7/13/20 15:33,8/10/20 9:33,8/10/20 9:33,6160 N LINCOLN AVE,,,60659,6160,N,LINCOLN,AVE,FALSE,FALSE,,,13,50,,H007,1,17,1711,25,,15,2,7,1152724.074,1940959.4,41.99386026,-87.71358337,"(41.993860260054596, -87.71358337415776)"
SR20-04565069,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,7/13/20 15:37,8/10/20 9:35,8/10/20 9:35,515 N DEARBORN ST,,,60654,515,N,DEARBORN,ST,FALSE,FALSE,,,8,42,,P021,3,18,1831,20,,15,2,7,1175926.142,1903806.537,41.89141925,-87.62935947,"(41.89141924798098, -87.62935946928627)"
SR20-04581455,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,7/15/20 12:46,8/20/20 11:04,8/20/20 11:04,2325 S WESTERN AVE,,,60608,2325,S,WESTERN,AVE,FALSE,FALSE,,,31,25,,K027,3,10,1034,5,,12,4,7,1160820.056,1888392.91,41.84944949,-87.68526424,"(41.84944948489531, -87.68526424262701)"
SR20-04603209,Consumer Retail Business Complaint,CST,Health,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,7/17/20 15:14,10/30/20 22:35,10/30/20 22:35,200 W JACKSON BLVD,,,60606,200,W,JACKSON,BLVD,FALSE,FALSE,,,32,42,,P023,2,1,122,9,,15,6,7,1174673.888,1899065.155,41.87843672,-87.63410024,"(41.87843671597893, -87.63410024205213)"
SR20-04603276,Consumer Retail Business Complaint,CST,Health,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,7/17/20 15:22,10/14/20 11:22,10/14/20 11:22,7800 S SOUTH CHICAGO AVE,,,60619,7800,S,SOUTH CHICAGO,AVE,FALSE,FALSE,,,45,5,,T040,1,4,411,12,,15,6,7,1187777.88,1853392.6,41.75280527,-87.58744167,"(41.7528052738792, -87.58744166459253)"
SR20-04603297,Consumer Retail Business Complaint,CST,Health,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,7/17/20 15:23,12/9/20 12:53,12/9/20 12:53,2333 E 95TH ST,,,60617,2333,E,95TH,ST,FALSE,FALSE,,,51,7,,V045,3,4,431,40,,15,6,7,1193558.522,1842287.039,41.72219116,-87.56662089,"(41.722191158305954, -87.56662089071482)"
SR20-04603309,Consumer Retail Business Complaint,CST,Health,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,7/17/20 15:25,10/14/20 11:26,10/14/20 11:26,7345 S STATE ST,,,60619,7345,S,STATE,ST,FALSE,FALSE,,,69,6,,Q039,2,3,323,6,,15,6,7,1177676.452,1856073.757,41.76039703,-87.62437803,"(41.76039702981652, -87.62437803401538)"
SR20-04622704,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,7/20/20 11:48,9/18/20 12:43,9/18/20 12:43,5 S CICERO AVE,,,60644,5,S,CICERO,AVE,FALSE,FALSE,,,25,28,,E023,1,11,1113,40,,11,2,7,1144410.314,1899261.831,41.87959925,-87.74521735,"(41.87959924492758, -87.74521735423838)"
SR20-04634015,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,7/21/20 13:39,7/21/20 13:45,7/21/20 13:45,7723 S STATE ST,,,60619,7723,S,STATE,ST,TRUE,FALSE,,SR20-04549323,69,6,,Q040,2,6,623,8,,13,3,7,1177635.699,1853701.888,41.75388927,-87.62459901,"(41.753889270650824, -87.62459901190572)"
SR20-04652041,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,7/23/20 14:14,9/21/20 12:59,9/21/20 12:59,11421 S HALSTED ST,,,60628,11421,S,HALSTED,ST,FALSE,FALSE,,,49,34,,O049,3,22,2233,42,,14,5,7,1173111.905,1829117.92,41.68652843,-87.64190067,"(41.68652842607161, -87.64190067022966)"
SR20-04675519,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,7/27/20 9:59,9/22/20 10:23,9/22/20 10:23,213 W HUBBARD ST,,,60654,213,W,HUBBARD,ST,FALSE,FALSE,,,8,42,,P021,3,18,1831,14,,9,2,7,1174495.849,1903261.472,41.88995564,-87.63462851,"(41.88995563913091, -87.63462850790434)"
SR20-04676306,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,7/27/20 11:09,9/22/20 10:25,9/22/20 10:25,1522 E 53RD ST,,,60615,1522,E,53RD,ST,FALSE,FALSE,,,41,4,,T034,3,2,234,27,,11,2,7,1187449.319,1870437.785,41.7995865,-87.5881044,"(41.79958649933465, -87.58810439835864)"
SR20-04676374,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,7/27/20 11:15,9/22/20 10:28,9/22/20 10:28,3258 S PRINCETON AVE,,,60616,3258,S,PRINCETON,AVE,FALSE,FALSE,,,34,11,,P029,1,9,915,32,,11,2,7,1174745.471,1883122.938,41.83468851,-87.63431396,"(41.83468851115594, -87.63431395982192)"
SR20-04676515,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,7/27/20 11:29,8/21/20 15:28,8/21/20 15:28,6849 S WESTERN AVE,,,60636,6849,S,WESTERN,AVE,FALSE,FALSE,,,66,17,,K038,3,8,832,8,,11,2,7,1161585.819,1859179.029,41.76926711,-87.68326481,"(41.769267107583794, -87.68326480478511)"
SR20-04677093,Business Complaints,RBL,Health,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,7/27/20 12:28,10/1/20 21:20,10/1/20 21:20,1654 W MARQUETTE RD,,,60636,1654,W,MARQUETTE,RD,FALSE,FALSE,,,67,15,,L037,2,7,725,22,,12,2,7,1166227.093,1860346.179,41.7723724,-87.66621882,"(41.772372400640016, -87.66621881731153)"
SR20-04677561,Business Complaints,RBL,Health,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,7/27/20 13:10,8/14/20 13:55,8/14/20 13:55,20 N MASON AVE,,,60644,20,N,MASON,AVE,FALSE,FALSE,,,25,29,,B022,1,15,1513,20,,13,2,7,1136687.457,1899659.512,41.88083225,-87.77356546,"(41.88083225438817, -87.77356546416165)"
SR20-04677837,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,7/27/20 13:34,11/20/20 15:03,9/22/20 10:31,520 N OGDEN AVE,,,60642,520,N,OGDEN,AVE,FALSE,FALSE,,,24,1,,M021,1,12,1215,40,,13,2,7,1167979.68,1903845.975,41.89170266,-87.65854176,"(41.89170266263193, -87.65854175453859)"
SR20-04677911,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,7/27/20 13:41,11/20/20 15:09,9/22/20 10:33,5733 S KEDZIE AVE,,,60629,5733,S,KEDZIE,AVE,FALSE,FALSE,,,63,14,,I035,2,8,824,5,,13,2,7,1156092.876,1866184.71,41.7886039,-87.70321137,"(41.7886039013201, -87.70321137172917)"
SR20-04677999,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,7/27/20 13:48,11/20/20 14:23,8/13/20 9:23,500 W MADISON ST,,,60661,500,W,MADISON,ST,FALSE,FALSE,,,28,42,,O022,2,1,121,41,,13,2,7,1172925.381,1900494.58,41.88239806,-87.64047796,"(41.88239805968082, -87.64047795755656)"
SR20-04678220,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,7/27/20 14:06,11/19/20 23:58,7/28/20 9:54,207 E 35TH ST,,,60616,207,E,35TH,ST,FALSE,FALSE,,,35,3,,Q030,1,2,212,7,,14,2,7,1178301.682,1881751.239,41.83084431,-87.62130708,"(41.83084430990171, -87.62130708382985)"
SR20-04695938,Business Complaints,RBL,Health,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,7/29/20 14:27,10/9/20 21:30,10/9/20 21:30,6900 N GLENWOOD AVE,,,60626,6900,N,GLENWOOD,AVE,FALSE,FALSE,,,1,49,,M005,3,24,2431,23,,14,4,7,1165544.686,1945785.138,42.0068379,-87.66628562,"(42.006837900810396, -87.66628561510655)"
SR20-04709772,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,7/31/20 9:51,10/4/21 11:19,10/4/21 11:19,5931 W NORTH AVE,,,60639,5931,W,NORTH,AVE,FALSE,FALSE,,,25,29,,B019,3,25,2531,25,,9,6,7,1136350.045,1909917.037,41.90898626,-87.77455914,"(41.908986255335925, -87.77455913642746)"
SR20-04713472,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,7/31/20 15:43,9/24/20 12:28,9/24/20 12:28,2653 W CERMAK RD,,,60608,2653,W,CERMAK,RD,FALSE,FALSE,,,30,24,,J027,3,10,1034,16,,15,6,7,1158807.064,1889217.058,41.85175249,-87.69262963,"(41.85175248497343, -87.69262962650788)"
SR20-04726612,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,8/3/20 8:25,8/20/20 11:25,8/20/20 11:25,4955 W MADISON ST,,,60644,4955,W,MADISON,ST,TRUE,FALSE,,SR20-04554029,25,28,,D023,3,15,1533,39,,8,2,8,1143356.144,1899444.788,41.88012106,-87.74908359,"(41.880121057054524, -87.74908358554835)"
SR20-04728239,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,8/3/20 10:28,8/3/20 10:29,8/3/20 10:29,3000 N LINCOLN AVE,,,60657,3000,N,LINCOLN,AVE,FALSE,FALSE,,,6,32,,M015,3,19,1932,10,,10,2,8,1166317.942,1920060.898,41.93623313,-87.66417993,"(41.936233124861495, -87.66417992832926)"
SR20-04732501,Business Complaints,RBL,Health,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,8/3/20 15:53,10/19/20 8:41,10/19/20 8:41,5858 S ARCHER AVE,,,60638,5858,S,ARCHER,AVE,FALSE,FALSE,,,56,14,,C034,1,8,814,23,,15,2,8,1140309.737,1868841.245,41.79619674,-87.76101855,"(41.79619673941075, -87.7610185448072)"
SR20-04755414,Business Complaints,RBL,Health,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,8/6/20 11:32,11/17/20 10:50,11/17/20 10:50,956 W 95TH ST,,,60620,956,W,95TH,ST,FALSE,FALSE,,,73,21,,N044,2,22,2223,41,,11,5,8,1171376.893,1841912.289,41.72167618,-87.64787945,"(41.72167618230302, -87.64787944708876)"
SR20-04816462,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,8/13/20 8:00,9/30/20 13:00,9/30/20 13:00,7859 S STATE ST,,,60619,7859,S,STATE,ST,FALSE,FALSE,,,69,6,,Q040,2,6,623,8,,8,5,8,1177793.642,1852812.194,41.75144427,-87.62404709,"(41.751444273044434, -87.62404708610201)"
SR20-04816509,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,8/13/20 8:07,9/30/20 13:01,9/30/20 13:01,3918 N CICERO AVE,,,60641,3918,N,CICERO,AVE,FALSE,FALSE,,,15,45,,D013,3,16,1634,8,,8,5,8,1143653.552,1925783.233,41.95239097,-87.74733071,"(41.9523909645806, -87.74733071067162)"
SR20-04816916,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,8/13/20 8:45,9/30/20 13:05,9/30/20 13:05,5857 W LAWRENCE AVE,,,60630,5857,W,LAWRENCE,AVE,FALSE,FALSE,,,15,45,,B011,2,16,1622,18,,8,5,8,1136187.233,1931218.1,41.96744158,-87.77464728,"(41.96744157600477, -87.77464727604995)"
SR20-04817248,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,8/13/20 9:12,9/30/20 13:08,9/30/20 13:08,6158 N CLARK ST,,,60660,6158,N,CLARK,ST,FALSE,FALSE,,,77,40,,L007,3,24,2433,27,,9,5,8,1164430.192,1941217.237,41.99432722,-87.6705161,"(41.9943272239543, -87.67051610124037)"
SR20-04817489,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,8/13/20 9:27,11/20/20 14:23,8/13/20 9:29,500 W MADISON ST,,,60661,500,W,MADISON,ST,FALSE,FALSE,,,28,42,,O022,2,1,121,41,,9,5,8,1172925.381,1900494.58,41.88239806,-87.64047796,"(41.88239805968082, -87.64047795755656)"
SR20-04826574,Business Complaints,RBL,Health,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,8/14/20 7:43,8/17/20 14:55,8/17/20 14:55,2727 W FULLERTON AVE,,,60647,2727,W,FULLERTON,AVE,FALSE,FALSE,,,22,1,,J017,3,14,1431,16,,7,6,8,1157650.988,1915758.43,41.92460806,-87.69614938,"(41.92460805905922, -87.69614938266214)"
SR20-04829947,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,8/14/20 12:19,10/1/20 10:16,10/1/20 10:16,4830 N PULASKI RD,,,60630,4830,N,PULASKI,RD,FALSE,FALSE,,,14,39,,F010,1,17,1712,8,,12,6,8,1148583.244,1931944.3,41.96920347,-87.72904913,"(41.96920346677148, -87.72904913292106)"
SR20-04856167,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,8/18/20 7:53,8/26/20 9:58,8/26/20 9:58,600 S WABASH AVE,,,60605,600,S,WABASH,AVE,FALSE,FALSE,,,32,4,,Q024,2,1,123,21,,7,3,8,1176778.142,1897541.878,41.87420945,-87.62642002,"(41.874209449010024, -87.62642002243707)"
SR20-04856634,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,8/18/20 8:35,8/26/20 10:01,8/26/20 10:01,1832 N CLYBOURN AVE,,,60614,1832,N,CLYBOURN,AVE,FALSE,FALSE,,,7,2,,N018,1,18,1811,20,,8,3,8,1169055.831,1912105.225,41.91434327,-87.65434948,"(41.91434326621587, -87.65434948192024)"
SR20-04860726,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,8/18/20 13:06,10/2/20 11:10,10/2/20 11:10,2800 W FULTON ST,,,60612,2800,W,FULTON,ST,FALSE,FALSE,,,27,27,,I022,2,12,1222,36,,13,3,8,1157517.692,1901988.612,41.88682523,-87.6970145,"(41.88682523403696, -87.69701449604159)"
SR20-04862441,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,8/18/20 15:21,10/16/20 10:21,10/16/20 10:21,1835 W HARRISON ST,,,60612,1835,W,HARRISON,ST,FALSE,FALSE,,,28,27,,L024,3,12,1231,10,,15,3,8,1164079.733,1897392.853,41.87407803,-87.67304679,"(41.87407803305525, -87.6730467895491)"
SR20-04871793,Business Complaints,RBL,Health,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,8/19/20 14:15,12/3/20 9:55,12/3/20 9:55,6259 S KEATING AVE,,,60629,6259,S,KEATING,AVE,FALSE,FALSE,,,64,13,,E036,1,8,813,25,,14,4,8,1145842.585,1862503.185,41.77870119,-87.74088901,"(41.77870119241869, -87.7408890124692)"
SR20-04889097,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,8/21/20 12:33,1/27/21 9:48,1/27/21 9:48,2401 N LAKE SHORE DR,,,60614,2401,N,LAKE SHORE,DR,FALSE,FALSE,,,7,43,,P016,3,19,1935,32,,12,6,8,1175471.396,1916800.387,41.92708519,-87.63063858,"(41.9270851907312, -87.63063857935033)"
SR20-04905808,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,8/24/20 8:57,10/5/20 9:00,10/5/20 9:00,6701 S RACINE AVE,,,60636,6701,S,RACINE,AVE,FALSE,FALSE,,,68,16,,N038,2,7,724,30,,8,2,8,1169549.393,1860290.646,41.77214865,-87.65404183,"(41.7721486491427, -87.65404182947739)"
SR20-04905947,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,8/24/20 9:10,8/26/20 15:50,8/26/20 15:50,3400 W ROOSEVELT RD,,,60624,3400,W,ROOSEVELT,RD,TRUE,FALSE,,SR20-04825946,29,24,,H024,3,11,1133,26,,9,2,8,1153855.808,1894532.22,41.86643783,-87.71066062,"(41.866437832979074, -87.71066062315982)"
SR20-04906100,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,8/24/20 9:24,10/5/20 10:23,10/5/20 10:23,4320 N CICERO AVE,,,60641,4320,N,CICERO,AVE,FALSE,FALSE,,,15,45,,D012,2,16,1624,12,,9,2,8,1143472.169,1928329.638,41.95938192,-87.74793354,"(41.959381919869976, -87.74793354367401)"
SR20-04906717,Business Complaints,RBL,Health,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,8/24/20 10:10,12/6/20 21:00,12/6/20 21:00,3424 W OHIO ST,,,60624,3424,W,OHIO,ST,FALSE,FALSE,,,23,27,,H021,2,11,1121,8,,10,2,8,1153315.57,1903859.449,41.89204347,-87.71239617,"(41.89204346761249, -87.71239616595604)"
SR20-04911389,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,8/24/20 16:22,10/5/20 10:43,10/5/20 10:43,770 N LA SALLE DR,,,60654,770,N,LA SALLE,DR,FALSE,FALSE,,,8,2,,P021,3,18,1832,41,,16,2,8,1174970.475,1905534.895,41.89618342,-87.63281732,"(41.896183416195896, -87.63281732424706)"
SR20-04911655,Business Complaints,RBL,Health,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,8/24/20 16:45,10/17/20 22:10,10/17/20 22:10,3702 N HALSTED ST,,,60613,3702,N,HALSTED,ST,FALSE,FALSE,,,6,46,,N013,2,19,1923,10,,16,2,8,1170169.83,1924881.47,41.9493776,-87.64988269,"(41.949377597457165, -87.64988268745947)"
SR20-04911689,Consumer Retail Business Complaint,CST,Health,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,8/24/20 16:48,9/20/20 11:40,9/20/20 11:40,7855 S GREENWOOD AVE,,,60619,7855,S,GREENWOOD,AVE,FALSE,FALSE,,,69,8,,S040,2,6,624,16,,16,2,8,1185019.272,1852918.766,41.75157021,-87.59756557,"(41.7515702084167, -87.59756556867437)"
SR20-04924970,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,8/26/20 10:04,8/26/20 10:09,8/26/20 10:09,5636 W IRVING PARK RD,,,60634,5636,W,IRVING PARK,RD,FALSE,FALSE,,,15,38,,B012,2,16,1624,40,,10,4,8,1137913.641,1926137.558,41.95346902,-87.76842251,"(41.953469023818414, -87.76842250754142)"
SR20-04929276,Restaurant Complaint,HFB,Health,Health,Completed,Phone Call,8/26/20 15:28,12/22/20 11:35,12/22/20 11:35,7101 S STONY ISLAND AVE,,,60649,7101,S,STONY ISLAND,AVE,FALSE,FALSE,,,43,5,,U039,2,3,324,10,,15,4,8,1188160.517,1858165.956,41.76589468,-87.58588749,"(41.76589468340686, -87.5858874882061)"
SR20-04936086,Business Complaints,RBL,Health,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,8/27/20 13:43,11/9/20 10:05,11/9/20 10:05,240 E ILLINOIS ST,,,60611,240,E,ILLINOIS,ST,FALSE,FALSE,,,8,42,,Q021,3,18,1834,26,,13,5,8,1178257.52,1903818.492,41.89139925,-87.62079715,"(41.891399245183, -87.62079715301066)"
SR20-04936322,Sanitation Code Violation,SCB,Health,Streets and Sanitation,Completed,Phone Call,8/27/20 14:00,9/9/20 9:11,9/9/20 9:11,6038 S PULASKI RD,,,60629,6038,S,PULASKI,RD,FALSE,FALSE,,,65,23,,F036,1,8,813,30,,14,5,8,1150644.433,1864080.53,41.78293754,-87.72324382,"(41.782937543648266, -87.7232438166892)"
